Category1,Category1.1,url
Cooktops,,https://www.amazon.com/Best-Sellers-Appliances-Cooktops/zgbs/appliances/3741261
Dishwashers,,https://www.amazon.com/Best-Sellers-Appliances-Dishwashers/zgbs/appliances/3741271
Dishwashers,Built-In Dishwashers,https://www.amazon.com/Best-Sellers-Appliances-Built-Dishwashers/zgbs/appliances/3741281
Dishwashers,Built-In Dishwashers,https://www.amazon.com/Best-Sellers-Appliances-Built-Dishwashers/zgbs/appliances/3741281
Freezers,,https://www.amazon.com/Best-Sellers-Appliances-Freezers/zgbs/appliances/3741331
Freezers,Chest Freezers,https://www.amazon.com/Best-Sellers-Appliances-Chest-Freezers/zgbs/appliances/3741341
Freezers,Chest Freezers,https://www.amazon.com/Best-Sellers-Appliances-Chest-Freezers/zgbs/appliances/3741341
Ice Makers,,https://www.amazon.com/Best-Sellers-Appliances-Ice-Makers/zgbs/appliances/2399939011
Range Hoods,,https://www.amazon.com/Best-Sellers-Appliances-Range-Hoods/zgbs/appliances/3741441
Ranges,,https://www.amazon.com/Best-Sellers-Appliances-Ranges/zgbs/appliances/3741411
Ranges,Drop-In Ranges,https://www.amazon.com/Best-Sellers-Appliances-Drop-Ranges/zgbs/appliances/3741421
Ranges,Drop-In Ranges,https://www.amazon.com/Best-Sellers-Appliances-Drop-Ranges/zgbs/appliances/3741421
Ranges,Drop-In Ranges,https://www.amazon.com/Best-Sellers-Appliances-Drop-Ranges/zgbs/appliances/3741421
Refrigerators,,https://www.amazon.com/Best-Sellers-Appliances-Refrigerators/zgbs/appliances/3741361
Wall Ovens,,https://www.amazon.com/Best-Sellers-Appliances-Wall-Ovens/zgbs/appliances/3741481
Wall Ovens,Combination Microwave & Wall Ovens,https://www.amazon.com/Best-Sellers-Appliances-Combination-Microwave-Wall-Ovens/zgbs/appliances/3741491
Wall Ovens,Combination Microwave & Wall Ovens,https://www.amazon.com/Best-Sellers-Appliances-Combination-Microwave-Wall-Ovens/zgbs/appliances/3741491
Wall Ovens,Combination Microwave & Wall Ovens,https://www.amazon.com/Best-Sellers-Appliances-Combination-Microwave-Wall-Ovens/zgbs/appliances/3741491
Warming Drawers,,https://www.amazon.com/Best-Sellers-Appliances-Warming-Drawers/zgbs/appliances/2399955011
Washers & Dryers,,https://www.amazon.com/Best-Sellers-Appliances-Washers-Dryers/zgbs/appliances/2383576011
Washers & Dryers,Dryers,https://www.amazon.com/Best-Sellers-Appliances-Clothes-Dryers/zgbs/appliances/13397481
Washers & Dryers,Dryers,https://www.amazon.com/Best-Sellers-Appliances-Clothes-Dryers/zgbs/appliances/13397481
Washers & Dryers,Dryers,https://www.amazon.com/Best-Sellers-Appliances-Clothes-Dryers/zgbs/appliances/13397481
Washers & Dryers,Dryers,https://www.amazon.com/Best-Sellers-Appliances-Clothes-Dryers/zgbs/appliances/13397481
Wine Cellars,,https://www.amazon.com/Best-Sellers-Appliances-Wine-Cellars/zgbs/appliances/3741521
Wine Cellars,Built-In Wine Cellars,https://www.amazon.com/Best-Sellers-Appliances-Built-Wine-Cellars/zgbs/appliances/3741551
Wine Cellars,Built-In Wine Cellars,https://www.amazon.com/Best-Sellers-Appliances-Built-Wine-Cellars/zgbs/appliances/3741551
Wine Cellars,Built-In Wine Cellars,https://www.amazon.com/Best-Sellers-Appliances-Built-Wine-Cellars/zgbs/appliances/3741551
Wine Cellars,Built-In Wine Cellars,https://www.amazon.com/Best-Sellers-Appliances-Built-Wine-Cellars/zgbs/appliances/3741551
Wine Cellars,Built-In Wine Cellars,https://www.amazon.com/Best-Sellers-Appliances-Built-Wine-Cellars/zgbs/appliances/3741551
Wine Cellars,Built-In Wine Cellars,https://www.amazon.com/Best-Sellers-Appliances-Built-Wine-Cellars/zgbs/appliances/3741551
Appliance Warranties,,https://www.amazon.com/Best-Sellers-Appliances-Home-Appliance-Warranties/zgbs/appliances/2242350011
